state_name,District_name,Season,Temperature,PH,Rainfall,phosphorous,nitrogen,potash,crop
AP,guntur,kharif,15.566117,6.7347877,57.098765,4.8657329,8.128947,8.213834,wheat
AP,guntur,rabi,25.76843,7.34567,57.923756,8.93821665,8.921846,8.87236,cotton
AP,guntur,rabi,3492875.873,8.234567,56.9384,7.918265,9.8734,9.983267,urad
AP,guntur,rabi,23.456,5.34567,98.7654,9.875368,3.887326,0,mirchi
AP,guntur,karif,644.76,8.34567,657.9265,8.889365,8.932865,8.327468,wheat
AP,guntur,rabi,16.98634,98.8734,6.34567,5.297846,6.983256,9.823654,gram
AP,guntur,rabi,24.87354,9.655432,9.34567,9.8763,3.9283756,4.82735,maize
AP,guntur,rabi,14.8275,8.5637,7.345678,6.98465,7.9346612,3.98756,paddy
AP,guntur,rabi,34.6879,8.522222,4.9846,7.83645,7.82756,3.827354,maize
AP,guntur,karif,78.0428,4.542555,9.78695,6.209385,8.76543,7.82735,paddy
AP,guntur,rabi,79.09845,4.986987,8.987645,9.9856,9.73542,8.827356,mirchi
AP,guntur,karif,89.02875,9.4566,9.0943875,7.91847,8.76541,9.82735,mirchi
AP,guntur,rabi,76.023987,9.34565,8.0928465,6.98356,9.7544,6.82735,mirchi
AP,guntur,karif,89.0237,3.84562,5.029387,5.918246,6.81745,5.98365,paddy
AP,guntur,rabi,45.98364,9.832745,8.092386,4.91864,8.87345,5.826434,mirchi
AP,guntur,karif,67.234,9.93287,7.9864,7.93856,9.76543,4.87346,mirchi
AP,guntur,rabi,29.56467,8.87346,7.09347,8.9386,9.34543,4.8735,wheat
AP,guntur,karif,78.7354,7.923846,3.9836,9.983746,9.87542,3.456789,maize
AP,guntur,karif,45.12798,9.91846,8.09347,8.823745,8.735462,5.45678,maize
AP,guntur,karif,94.63987,9.92386,9.912864,9.918346,7.72462,6.2345678,wheat
AP,guntur,rabi,87.289347,9.09785,4.918644,8.83746,9.27356,4.928734,cotton
AP,guntur,rabi,98.9836,9.8736,8.8736,7.873245,5.81754,8.72354,cotton
AP,guntur,rabi,97.1654,3.50987,8.83754,7.8464,6.81746,9.8736,cotton
AP,guntur,rabi,34.8746,6.78354,8.9846,4.91864,8.187245,6.72353,maize
AP,guntur,rabi,23.98356,8.78654,5.918364,8.918364,5.187354,8.73543,paddy
AP,guntur,rabi,67.9384,4.837452,8.923865,9.74544,5.821754,3.657887,paddy
